OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,C1km,C2km,C3km
1734,B2094757D56EAAFD4899,中阳信和水岸,石家庄市新华区友谊北大街375号,114.45551134,38.09007948,311,住宅区,203,87,小区,59,226,543
1735,B2094656D06CA2F5499B,天苑小区,友谊大街北二环交叉口,114.44846,38.0884,311,住宅区,609,269,小区,58,194,482
1736,B2094656D368A6F5429A,柳阳佳园,柳阳街18,114.51404,38.09167,311,住宅区,236,100,小区,96,276,514
1737,B2094656D368A5FE419C,庄窠小区,胜利北街,114.52174,38.08473,311,住宅区,251,109,小区,115,333,623
1738,B2094656D365A4FA429E,柏林北区,友谊大街与联盟路交叉口,114.47917,38.07751,311,住宅区,462,177,小区,167,580,1261
1739,B2094656D365ABF84398,义堂小区,义东街12,114.50735,38.07519,311,住宅区,572,133,小区,158,539,1207
1740,B2094656D365ABFD449C,义西小区(南门),,114.49485,38.07226,311,住宅区,175,65,小区,132,624,1586
1741,B2094656D365A6FD459C,柏林小区,石家庄市新华区柏林南路,114.48397,38.08303,311,住宅区,119,26,小区,121,435,989
1742,B2094656D365ABFD469E,鑫城小区(南门),赵佗路55,114.48456,38.09531,311,住宅区,113,14,小区,61,196,511
1743,B2094656D36BA2F4499E,沿西小区,丰收路9号,114.51461,38.07523,311,住宅区,106,28,小区,182,538,1104
1744,B2094656D365A1FB429A,众馨家园,北二环东路25,114.52158,38.08029,311,住宅区,42,13,小区,140,376,706
1745,B2094656D06CA2FE4192,红星花园,红星街56号,114.49383,38.08605,311,住宅区,173,82,小区,53,386,899
1746,B2094656D368A6F54392,荣昌花园,石家庄市桥东区柳阳街,114.5144,38.09384,311,住宅区,381,103,小区,81,232,465
