OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1198,B2094656D364A2F94498,东北菜馆(康硕幼儿园北),,114.847210000000004,38.040740000000000,311,东北菜,0,0,餐饮,中式餐饮,1
1199,B2094656D364A2F9449D,特色小吃(康硕幼儿园北),,114.847279999999998,38.039310000000000,311,快餐厅,0,0,餐饮,小吃快餐,1
1200,B2094656D364A2F9459A,丽华饭店,,114.847340000000003,38.038080000000001,311,中餐厅,0,0,餐饮,中式餐饮,1
1201,B2094656D364A2F9459F,趣味源土菜馆,,114.847369999999998,38.037230000000001,311,中餐厅,0,0,餐饮,中式餐饮,1
1202,B2094656D364A2F9459D,赵州驴肉大全(四明北街),,114.847380000000001,38.037050000000001,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1203,B2094656D364A2F9469A,中旺餐馆,,114.847409999999996,38.036490000000001,311,中餐厅,0,0,餐饮,中式餐饮,1
1204,B2094656D364A2F9469D,干锅鸭,,114.847489999999993,38.034469999999999,311,餐饮美食,0,0,餐饮,其它,1
1205,B2094656D364A2F84398,红宝石西饼屋,,114.852959999999996,38.032519999999998,311,糕饼店,0,0,餐饮,甜点饮品,1
1206,B2094656D364A2F8439E,北方蒸菜骨头馆,,114.852890000000002,38.033220000000000,311,中餐厅,0,0,餐饮,中式餐饮,1
1207,B2094656D364A2F84392,百姓放心包子第二厅,,114.852789999999999,38.034250000000000,311,餐饮美食,0,0,餐饮,其它,1
1208,B2094656D364A2F8469A,老北京火锅藁城分店,,114.852130000000002,38.036580000000001,311,火锅店,0,0,餐饮,中式餐饮,1
1209,B2094656D364A2F8469B,河北人家火锅,,114.852140000000006,38.036409999999997,311,火锅店,0,0,餐饮,中式餐饮,1
1210,B2094656D364A2FA479B,美国加州牛肉面大王(胜利西路),,114.842250000000007,38.031820000000003,311,快餐厅,0,0,餐饮,小吃快餐,1
1211,B2094656D364A2FA4792,万利亨蛋糕坊,,114.840689999999995,38.031779999999998,311,糕饼店,0,0,餐饮,甜点饮品,1
1212,B2094656D364A2FA4898,好太太美食坊,,114.839640000000003,38.031759999999998,311,中餐厅,0,0,餐饮,中式餐饮,1
