OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1350,B2094656D364AAF5419E,卓达花园(塔南路),,114.561300000000003,38.006059999999998,311,住宅区,111,40,小区
1351,B2094656D364A5F9429F,谈固小区,中铁大厦东,114.556640000000002,38.040489999999998,311,住宅区,163,97,小区
1352,B2094750D569ABF4479E,冠城,和平路和育才街(谈北路)交叉口,114.527075999999994,38.051105000000000,311,住宅区,336,185,小区
1353,B2094656D365ABFE4592,金谈固家园(北门),,114.573689999999999,38.049779999999998,311,住宅区,112,64,小区
1354,B2094656D364ABFE4999,国际城(南侧门),槐中路433,114.563990000000004,38.029780000000002,311,住宅区,91,24,小区
1355,B2094656D365A0FE419C,豪景丽园,煤机街116,114.549639999999997,38.030040000000000,311,住宅区,140,39,小区
1356,B2094656D369A5F8449A,瑞特家园(槐安西路),,114.480360000000005,38.025190000000002,311,住宅区,66,7,小区
1357,B2094656D365AAF4469F,丽日青城,长安区和平路和广安大街交叉口北侧,114.555670000000006,37.993310000000001,311,住宅区,86,33,小区
1358,B2094656D36BA5FD479F,龚尚嘉苑,石家庄裕华东路191号,114.572460000000007,38.037599999999998,311,住宅区,108,60,小区
1359,B2094656D365A4F4469C,宏丰苑(北门),丰收路62,114.523179999999996,38.071610000000000,311,住宅区,47,2,小区
1360,B2094656D365A0F9469D,恒泰德钰名邸,建华南大街199,114.547010000000000,38.031889999999997,311,住宅区,89,54,小区
1361,B2094656D06CA1FD489F,盛世花园,仓兴街与仓盛路交叉口,114.504630000000006,37.974760000000003,311,住宅区,60,19,小区
1362,B2094656D364AAF5479D,二十里铺社区(金铺苑),,114.580900000000000,38.027250000000002,311,住宅区,98,40,小区
1363,B2094656D365A4FC489D,华北制药集团一生活区,,114.531630000000007,38.048259999999999,311,住宅区,17,0,小区
1364,B2094656D365ABFF4898,翼凌花苑,长安区西部丰收路32号,114.517300000000006,38.072069999999997,311,住宅区,92,17,小区
1365,B2094656D365ABFE419C,同馨苑(东门),建设北大街246,114.511349999999993,38.068109999999997,311,住宅区,53,2,小区
1366,B2094750D66FABFB4798,中山华府,石家庄，大经街,114.495009999999994,38.036605000000002,311,住宅区,202,77,小区
1367,B2094656D364A4FB429C,东平小区(平安南大街),,114.501720000000006,38.016050000000000,311,住宅区,324,133,小区
1368,B2094656D36BA5F4419C,省直东苑小区,槐北路392,114.552350000000004,38.031880000000001,311,住宅区,317,151,小区
1369,B2094656D36BA7FA499D,石家庄市位同,,114.577410000000000,38.008389999999999,311,住宅区,18,2,小区
1370,B2094656D36AA6FC4499,国储河北一三五处生活区,,114.499170000000007,38.016939999999998,311,住宅区,125,43,小区
1371,B2094656D06CA3FC489B,亲亲蜜糖,长安区建华北大街398号(月季花园东郊),114.544939999999997,38.075099999999999,311,住宅区,22,9,小区
1372,B2094656D365A4FB4192,热电厂宿舍(和平东路),,114.530230000000003,38.052830000000000,311,住宅区,27,6,小区
1373,B2094656D365A5FA4992,恒都·彩虹源,槐岭路189,114.572180000000003,38.027790000000003,311,住宅区,69,26,小区
1374,B2094656D36BA4FF409F,尖岭新村,东明商68号,114.548280000000005,38.028500000000001,311,住宅区,61,29,小区
1375,B2094656D36BA5FB479A,江山花园,裕华东路406号,114.551550000000006,38.035699999999999,311,住宅区,40,14,小区
1376,B2094656D364A3F54899,十里华庭,,114.572000000000003,38.071269999999998,311,住宅区,62,27,小区
1377,B2094656D06CA3F8489C,蓝湾·新街坊,富强大街168号(富强公寓对面),114.523300000000006,38.023049999999998,311,住宅区,6,0,小区
1378,B2094656D365ABFE499D,平安生活小区南区(东门),,114.507620000000003,38.016860000000001,311,住宅区,102,26,小区
1379,B2094656D365ABFD479B,金裕花园(东门),,114.484160000000003,38.037469999999999,311,住宅区,6,0,小区
1380,B2094656D365ABFD439D,石府二区(东门),,114.500079999999997,38.058650000000000,311,住宅区,45,20,小区
1381,B2094656D365ABFC4498,惠民·水岸金桥住宅小区(西门),,114.541169999999994,38.061430000000001,311,住宅区,20,9,小区
1382,B2094656D365A4FB449A,清馨苑(东岗路),东岗路12,114.521749999999997,38.014690000000002,311,住宅区,106,46,小区
1383,B2094656D36BA7FB4793,书香园二区,,114.557400000000001,38.007849999999998,311,住宅区,30,8,小区
1384,B2094656D36BA0F4449B,中国邮政培训中心公寓,,114.531670000000005,38.018780000000000,311,住宅区,36,15,小区
1385,B2094656D365ABF8479B,卓东花园,翟营南大街389号,114.566239999999993,38.004140000000000,311,住宅区,38,7,小区
1386,B2094656D364A3F94098,众诚百合园,建华北大街与光华路交叉口,114.548010000000005,38.059739999999998,311,住宅区,97,23,小区
1387,B2094656D364A4FE429E,华夏家园B区,,114.495069999999998,38.023890000000002,311,住宅区,17,6,小区
1388,B2094656D365A5FE449A,省粮油所宿舍,槐北路与谈固南大街交叉口东兴200米路北,114.565450999999996,38.033811000000000,311,住宅区,31,4,小区
1389,B2094750D26AABFB459B,冠城苑,,114.526245000000003,38.051841000000003,311,住宅区,11,1,小区
1390,B2094757D56FA5FD449A,芝兰明仕(西门),中国河北省石家庄市区谈固东街,114.571106770000000,38.024866539999998,311,住宅区,14,6,小区
1391,B2094656D365ABFE4799,滨江国际(北门),,114.507069999999999,38.041759999999996,311,住宅区,9,1,小区
1392,B2094656D365ABFD4293,谈后小区(南门),谈北路19,114.520300000000006,38.051000000000002,311,住宅区,23,14,小区
1393,B2094656D365ABFD4098,北后小区颐和居(西门),北大街53,114.487510000000000,38.050310000000003,311,住宅区,56,15,小区
1394,B2094656D365ABFC4392,河北省财政厅裕西小区(西门),,114.480930000000001,38.032719999999998,311,住宅区,13,5,小区
1395,B2094656D365A4F5459E,河北电视台生活小区(北门),,114.543930000000003,38.035530000000001,311,住宅区,12,1,小区
1396,B2094656D365A4F54492,东三教新村(西门),,114.489230000000006,38.018009999999997,311,住宅区,47,15,小区
1397,B2094757D56EAAFA4392,银龙小区南区(北门),中国河北省石家庄市区,114.579310440000000,38.049870880000000,311,住宅区,10,2,小区
1398,B2094656D365A1FC419C,园东苑,谈北路2,114.518069999999994,38.050330000000002,311,住宅区,16,6,小区
